,tconst,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
32803,tt0033397,The Black Cat,The Black Cat,0,1941,1941,70,"Adventure,Comedy,Crime",6.1,1858.0
32811,tt0033405,Blood and Sand,Blood and Sand,0,1941,1941,125,"Drama,Romance,Sport",6.8,2954.0
32813,tt0033407,Blossoms in the Dust,Blossoms in the Dust,0,1941,1941,99,"Biography,Drama,Romance",6.9,2146.0
32815,tt0033409,Blues in the Night,Blues in the Night,0,1941,1941,88,"Crime,Drama,Music",6.7,1215.0
32838,tt0033432,The Bride Came C.O.D.,The Bride Came C.O.D.,0,1941,1941,92,"Comedy,Romance",6.9,3519.0
32841,tt0033436,Buck Privates,Buck Privates,0,1941,1941,84,"Comedy,Musical,War",7.0,4568.0
32863,tt0033458,Charlie Chan in Rio,Charlie Chan in Rio,0,1941,1941,60,"Crime,Mystery",6.9,1398.0
32872,tt0033467,Citizen Kane,Citizen Kane,0,1941,1941,119,"Drama,Mystery",8.3,447377.0
32882,tt0033477,Come Live with Me,Come Live with Me,0,1941,1941,86,"Comedy,Romance",7.0,2191.0
32896,tt0033491,Bombsight Stolen,Cottage to Let,0,1941,1941,90,"Comedy,Mystery,Thriller",6.7,1234.0
32923,tt0033519,Dead Men Tell,Dead Men Tell,0,1941,1941,61,"Comedy,Crime,Mystery",6.9,1274.0
32934,tt0033530,The Devil Commands,The Devil Commands,0,1941,1941,65,"Horror,Sci-Fi",6.1,1293.0
32936,tt0033532,All That Money Can Buy,All That Money Can Buy,0,1941,1941,107,"Drama,Fantasy,Romance",7.6,5244.0
32937,tt0033533,The Devil and Miss Jones,The Devil and Miss Jones,0,1941,1941,92,"Comedy,Romance",7.6,4468.0
32941,tt0033537,Dive Bomber,Dive Bomber,0,1941,1941,132,"Drama,Romance,War",6.5,1937.0
32957,tt0033553,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1941,1941,113,"Drama,Horror,Sci-Fi",6.8,9335.0
32962,tt0033558,Dressed to Kill,Dressed to Kill,0,1941,1941,74,"Crime,Film-Noir,Mystery",6.4,1132.0
32967,tt0033563,Dumbo,Dumbo,0,1941,1941,64,"Adventure,Animation,Drama",7.2,135304.0
32986,tt0033582,The Face Behind the Mask,The Face Behind the Mask,0,1941,1941,69,"Crime,Drama,Film-Noir",7.1,1616.0
33008,tt0033606,The Flame of New Orleans,The Flame of New Orleans,0,1941,1941,79,"Adventure,Comedy,Music",6.5,1237.0
33017,tt0033616,Footsteps in the Dark,Footsteps in the Dark,0,1941,1941,96,"Comedy,Crime,Mystery",6.7,1376.0
33028,tt0033627,49th Parallel,49th Parallel,0,1941,1941,123,"Drama,Thriller,War",7.3,7079.0
33051,tt0033650,The Gay Falcon,The Gay Falcon,0,1941,1941,67,"Crime,Film-Noir,Mystery",6.5,1163.0
33055,tt0033654,The 47 Ronin,Genroku chûshingura,0,1941,1941,241,"Drama,History",7.2,2532.0
33060,tt0033660,The Ghost Train,The Ghost Train,0,1941,1941,85,"Comedy,Horror",6.2,1551.0
33076,tt0033676,Great Guns,Great Guns,0,1941,1941,74,"Comedy,Romance,War",6.1,1489.0
33077,tt0033677,The Great Lie,The Great Lie,0,1941,1941,108,Drama,7.1,4056.0
33086,tt0033686,"H.M. Pulham, Esq.","H.M. Pulham, Esq.",0,1941,1941,120,"Drama,Romance",6.9,1381.0
33104,tt0033704,Hellzapoppin',Hellzapoppin',0,1941,1941,84,"Action,Comedy,Music",7.4,3268.0
33112,tt0033712,Here Comes Mr. Jordan,Here Comes Mr. Jordan,0,1941,1941,94,"Comedy,Fantasy,Romance",7.6,6868.0
33117,tt0033717,High Sierra,High Sierra,0,1941,1941,100,"Action,Adventure,Drama",7.5,18035.0
33122,tt0033722,Hold Back the Dawn,Hold Back the Dawn,0,1941,1941,116,"Drama,Romance",7.3,2624.0
33123,tt0033723,Hold That Ghost,Hold That Ghost,0,1941,1941,86,"Comedy,Horror",7.3,3927.0
33126,tt0033726,Honky Tonk,Honky Tonk,0,1941,1941,105,"Comedy,Crime,Drama",6.6,1199.0
33127,tt0033727,Mr. Bug Goes to Town,Mr. Bug Goes to Town,0,1941,1941,78,"Animation,Comedy,Family",6.9,1337.0
33129,tt0033729,How Green Was My Valley,How Green Was My Valley,0,1941,1941,118,"Drama,Family",7.7,25007.0
33139,tt0033740,I Wake Up Screaming,I Wake Up Screaming,0,1941,1941,82,"Crime,Drama,Film-Noir",7.2,5018.0
33153,tt0033754,In the Navy,In the Navy,0,1941,1941,86,Comedy,6.7,3113.0
33159,tt0033760,Invisible Ghost,Invisible Ghost,0,1941,1941,64,"Crime,Drama,Horror",5.2,2363.0
33165,tt0033766,It Started with Eve,It Started with Eve,0,1941,1941,90,"Comedy,Music,Romance",7.6,1692.0
33173,tt0033774,Johnny Eager,Johnny Eager,0,1941,1941,107,"Crime,Film-Noir,Music",7.0,3265.0
33180,tt0033781,Keep 'Em Flying,Keep 'Em Flying,0,1941,1941,86,Comedy,6.5,1674.0
33186,tt0033787,King of the Zombies,King of the Zombies,0,1941,1941,67,"Adventure,Comedy,Horror",5.2,2355.0
33201,tt0033802,Ladies in Retirement,Ladies in Retirement,0,1941,1941,91,"Crime,Drama,Film-Noir",7.1,1489.0
33202,tt0033803,Lady Be Good,Lady Be Good,0,1941,1941,112,"Comedy,Music,Musical",6.4,1086.0
33203,tt0033804,The Lady Eve,The Lady Eve,0,1941,1941,94,"Comedy,Romance",7.7,22276.0
33235,tt0033836,The Little Foxes,The Little Foxes,0,1941,1941,116,"Drama,Romance",7.9,12379.0
33251,tt0033852,Love Crazy,Love Crazy,0,1941,1941,99,"Comedy,Romance",7.4,3201.0
33267,tt0033868,Major Barbara,Major Barbara,0,1941,1941,131,Comedy,6.8,1414.0
33269,tt0033870,The Maltese Falcon,The Maltese Falcon,0,1941,1941,100,"Crime,Film-Noir,Mystery",8.0,161145.0
33272,tt0033873,Man Hunt,Man Hunt,0,1941,1941,105,"Crime,Drama,Romance",7.2,6001.0
33273,tt0033874,The Man Who Came to Dinner,The Man Who Came to Dinner,0,1942,1942,112,"Comedy,Romance",7.5,8326.0
33278,tt0033879,Man Made Monster,Man-Made Monster,0,1941,1941,59,"Drama,Horror,Romance",6.1,1659.0
33290,tt0033891,Meet John Doe,Meet John Doe,0,1941,1941,135,"Comedy,Drama,Romance",7.6,14069.0
33300,tt0033902,Men of Boys Town,Men of Boys Town,0,1941,1941,106,Drama,6.6,1177.0
33316,tt0033918,Moon Over Miami,Moon Over Miami,0,1941,1941,91,"Comedy,Musical,Romance",6.7,1332.0
